TP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
2,exp20260303_155345,1,vendor-b,bf16,11008,8192,4096,4,64,2,8,full-uniform-1,1024,32000,23392,40.646,344.265
2,exp20260303_155345,0,vendor-b,bf16,11008,8192,4096,4,64,2,8,full-uniform-1,1024,32000,23392,40.643,344.291
2,exp20260303_055733,0,vendor-b,bf16,11008,8192,4096,4,64,2,8,full-uniform-1,1024,32000,23392,40.6161,344.519
8,exp20260303_044519,3,vendor-b,bf16,11008,8192,4096,4,128,1,8,null,1024,32000,5728,6.22703,344.52
8,exp20260303_044519,2,vendor-b,bf16,11008,8192,4096,4,128,1,8,null,1024,32000,5728,6.22695,344.524
8,exp20260303_044519,5,vendor-b,bf16,11008,8192,4096,4,128,1,8,null,1024,32000,5728,6.22688,344.528
2,exp20260303_055733,1,vendor-b,bf16,11008,8192,4096,4,64,2,8,full-uniform-1,1024,32000,23392,40.615,344.528
8,exp20260303_044519,6,vendor-b,bf16,11008,8192,4096,4,128,1,8,null,1024,32000,5728,6.22687,344.529
8,exp20260303_044519,4,vendor-b,bf16,11008,8192,4096,4,128,1,8,null,1024,32000,5728,6.22686,344.53
8,exp20260303_044519,1,vendor-b,bf16,11008,8192,4096,4,128,1,8,null,1024,32000,5728,6.2268,344.533
8,exp20260303_044519,0,vendor-b,bf16,11008,8192,4096,4,128,1,8,null,1024,32000,5728,6.22677,344.534
8,exp20260303_044519,7,vendor-b,bf16,11008,8192,4096,4,128,1,8,null,1024,32000,5728,6.22676,344.535
2,exp20260303_015719,1,vendor-b,bf16,11008,8192,4096,4,64,2,16,full-block-1,1024,32000,24096,41.7911,344.698
2,exp20260303_015719,0,vendor-b,bf16,11008,8192,4096,4,64,2,16,full-block-1,1024,32000,24096,41.791,344.699
8,exp20260302_174134,4,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.29571,344.855
8,exp20260302_174134,0,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.2951,344.888
8,exp20260303_114412,3,vendor-b,bf16,11008,8192,4096,2,128,2,16,full-block-1,1024,32000,6720,5.09959,344.888
8,exp20260303_114412,7,vendor-b,bf16,11008,8192,4096,2,128,2,16,full-block-1,1024,32000,6720,5.09958,344.889
8,exp20260302_174134,3,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.29504,344.892
8,exp20260302_174134,6,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.29504,344.892
8,exp20260302_174134,1,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.29502,344.893
8,exp20260302_174134,2,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.29501,344.893
8,exp20260302_174134,5,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.295,344.894
8,exp20260303_114412,0,vendor-b,bf16,11008,8192,4096,2,128,2,16,full-block-1,1024,32000,6720,5.09948,344.896
8,exp20260303_114412,2,vendor-b,bf16,11008,8192,4096,2,128,2,16,full-block-1,1024,32000,6720,5.09948,344.896
8,exp20260303_181619,2,vendor-b,bf16,11008,8192,4096,4,64,1,32,full-uniform-1,1024,32000,5664,6.74325,344.897
8,exp20260303_114412,1,vendor-b,bf16,11008,8192,4096,2,128,2,16,full-block-1,1024,32000,6720,5.09944,344.899
8,exp20260303_114412,5,vendor-b,bf16,11008,8192,4096,2,128,2,16,full-block-1,1024,32000,6720,5.09944,344.899
8,exp20260303_114412,4,vendor-b,bf16,11008,8192,4096,2,128,2,16,full-block-1,1024,32000,6720,5.09932,344.907
8,exp20260303_181619,5,vendor-b,bf16,11008,8192,4096,4,64,1,32,full-uniform-1,1024,32000,5664,6.74302,344.908
8,exp20260303_181619,3,vendor-b,bf16,11008,8192,4096,4,64,1,32,full-uniform-1,1024,32000,5664,6.74301,344.909
8,exp20260303_114412,6,vendor-b,bf16,11008,8192,4096,2,128,2,16,full-block-1,1024,32000,6720,5.09926,344.911
8,exp20260303_181619,1,vendor-b,bf16,11008,8192,4096,4,64,1,32,full-uniform-1,1024,32000,5664,6.74296,344.911
8,exp20260303_181619,6,vendor-b,bf16,11008,8192,4096,4,64,1,32,full-uniform-1,1024,32000,5664,6.74297,344.911
8,exp20260303_181619,7,vendor-b,bf16,11008,8192,4096,4,64,1,32,full-uniform-1,1024,32000,5664,6.74296,344.911
8,exp20260302_174134,7,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.29467,344.912
8,exp20260303_181619,0,vendor-b,bf16,11008,8192,4096,4,64,1,32,full-uniform-1,1024,32000,5664,6.74285,344.917
8,exp20260303_181619,4,vendor-b,bf16,11008,8192,4096,4,64,1,32,full-uniform-1,1024,32000,5664,6.74284,344.918
2,exp20260303_062338,1,vendor-b,bf16,11008,8192,4096,2,64,2,2,full-uniform-1,2048,32000,23040,40.8662,344.933
2,exp20260303_062338,0,vendor-b,bf16,11008,8192,4096,2,64,2,2,full-uniform-1,2048,32000,23040,40.8639,344.952
2,exp20260303_172231,0,vendor-b,bf16,11008,8192,4096,4,128,2,32,selective,1024,32000,24448,41.7599,344.956
2,exp20260303_172231,1,vendor-b,bf16,11008,8192,4096,4,128,2,32,selective,1024,32000,24448,41.7591,344.963
2,exp20260302_165940,0,vendor-b,bf16,11008,8192,4096,4,64,2,4,full-uniform-1,1024,32000,23136,39.9267,345.304
2,exp20260302_165940,1,vendor-b,bf16,11008,8192,4096,4,64,2,4,full-uniform-1,1024,32000,23136,39.9258,345.312
8,exp20260303_135017,4,vendor-b,bf16,11008,8192,4096,4,128,1,32,selective,1024,32000,5728,6.43496,345.402
8,exp20260303_135017,5,vendor-b,bf16,11008,8192,4096,4,128,1,32,selective,1024,32000,5728,6.43483,345.409
8,exp20260303_135017,1,vendor-b,bf16,11008,8192,4096,4,128,1,32,selective,1024,32000,5728,6.4348,345.41
8,exp20260303_135017,0,vendor-b,bf16,11008,8192,4096,4,128,1,32,selective,1024,32000,5728,6.43479,345.411
8,exp20260303_135017,2,vendor-b,bf16,11008,8192,4096,4,128,1,32,selective,1024,32000,5728,6.43474,345.414
8,exp20260303_135017,6,vendor-b,bf16,11008,8192,4096,4,128,1,32,selective,1024,32000,5728,6.43473,345.414
8,exp20260303_135017,3,vendor-b,bf16,11008,8192,4096,4,128,1,32,selective,1024,32000,5728,6.43466,345.417
8,exp20260303_135017,7,vendor-b,bf16,11008,8192,4096,4,128,1,32,selective,1024,32000,5728,6.43456,345.423
8,exp20260302_145725,3,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-uniform-1,1024,32000,6848,5.23896,345.551
8,exp20260302_145725,2,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-uniform-1,1024,32000,6848,5.23893,345.553
8,exp20260302_145725,1,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-uniform-1,1024,32000,6848,5.23891,345.554
8,exp20260302_145725,0,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-uniform-1,1024,32000,6848,5.2389,345.555
8,exp20260302_145725,6,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-uniform-1,1024,32000,6848,5.23891,345.555
8,exp20260302_145725,4,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-uniform-1,1024,32000,6848,5.23885,345.558
8,exp20260302_145725,5,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-uniform-1,1024,32000,6848,5.23883,345.56
8,exp20260302_145725,7,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-uniform-1,1024,32000,6848,5.23867,345.571
2,exp20260303_110800,1,vendor-b,bf16,11008,8192,4096,2,64,2,16,full-block-1,2048,32000,24128,42.8679,345.658
2,exp20260303_110800,0,vendor-b,bf16,11008,8192,4096,2,64,2,16,full-block-1,2048,32000,24128,42.8653,345.679
8,exp20260303_000510,0,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.57885,345.681
8,exp20260303_000510,1,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.57882,345.683
8,exp20260302_233818,2,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.28057,345.686
8,exp20260302_233818,5,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.28057,345.686
8,exp20260303_000510,2,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.57876,345.686
8,exp20260303_000510,7,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.57876,345.686
8,exp20260303_000510,6,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.57872,345.688
8,exp20260302_233818,1,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.28051,345.689
8,exp20260303_000510,4,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.5787,345.689
8,exp20260303_000510,5,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.57871,345.689
8,exp20260302_233818,4,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.28048,345.691
8,exp20260303_000510,3,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.57866,345.691
8,exp20260302_233818,3,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.28043,345.694
8,exp20260302_233818,6,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.28041,345.695
8,exp20260302_233818,0,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.28037,345.697
8,exp20260302_233818,7,vendor-b,bf16,11008,8192,4096,4,64,1,8,selective,1024,32000,5728,6.28021,345.706
8,exp20260303_114617,0,vendor-b,bf16,11008,8192,4096,2,128,2,16,null,1024,32000,6848,5.08663,345.767
8,exp20260303_114617,5,vendor-b,bf16,11008,8192,4096,2,128,2,16,null,1024,32000,6848,5.08662,345.768
8,exp20260303_114617,1,vendor-b,bf16,11008,8192,4096,2,128,2,16,null,1024,32000,6848,5.0866,345.769
8,exp20260303_114617,2,vendor-b,bf16,11008,8192,4096,2,128,2,16,null,1024,32000,6848,5.08655,345.772
8,exp20260303_114617,3,vendor-b,bf16,11008,8192,4096,2,128,2,16,null,1024,32000,6848,5.08652,345.775
8,exp20260303_114617,4,vendor-b,bf16,11008,8192,4096,2,128,2,16,null,1024,32000,6848,5.08651,345.775
8,exp20260303_114617,7,vendor-b,bf16,11008,8192,4096,2,128,2,16,null,1024,32000,6848,5.08647,345.778
8,exp20260303_114617,6,vendor-b,bf16,11008,8192,4096,2,128,2,16,null,1024,32000,6848,5.08637,345.785
2,exp20260303_115648,1,vendor-b,bf16,11008,8192,4096,2,128,2,4,full-uniform-1,2048,32000,23040,40.7602,345.83
2,exp20260303_115648,0,vendor-b,bf16,11008,8192,4096,2,128,2,4,full-uniform-1,2048,32000,23040,40.7585,345.844
2,exp20260302_164927,1,vendor-b,bf16,11008,8192,4096,2,64,2,32,full-block-1,1024,32000,24064,22.0018,346.107
2,exp20260302_194744,0,vendor-b,bf16,11008,8192,4096,4,128,2,32,selective,1024,32000,24448,41.6205,346.111
2,exp20260302_194744,1,vendor-b,bf16,11008,8192,4096,4,128,2,32,selective,1024,32000,24448,41.62,346.115
2,exp20260302_164927,0,vendor-b,bf16,11008,8192,4096,2,64,2,32,full-block-1,1024,32000,24064,22.0009,346.121
2,exp20260303_060112,1,vendor-b,bf16,11008,8192,4096,4,128,2,8,full-uniform-1,1024,32000,23136,39.8293,346.148
2,exp20260303_060112,0,vendor-b,bf16,11008,8192,4096,4,128,2,8,full-uniform-1,1024,32000,23136,39.8269,346.169
2,exp20260303_093103,1,vendor-b,bf16,11008,8192,4096,2,64,2,4,full-uniform-1,2048,32000,23168,40.9851,346.447
2,exp20260303_032429,0,vendor-b,bf16,11008,8192,4096,4,64,2,4,full-uniform-1,1024,32000,23136,39.7935,346.46
2,exp20260303_093103,0,vendor-b,bf16,11008,8192,4096,2,64,2,4,full-uniform-1,2048,32000,23168,40.9832,346.463
2,exp20260303_032429,1,vendor-b,bf16,11008,8192,4096,4,64,2,4,full-uniform-1,1024,32000,23136,39.7925,346.469
8,exp20260303_134823,3,vendor-b,bf16,11008,8192,4096,4,64,1,32,null,1024,32000,5728,6.71209,346.498
8,exp20260303_134823,6,vendor-b,bf16,11008,8192,4096,4,64,1,32,null,1024,32000,5728,6.71206,346.499
8,exp20260303_134823,4,vendor-b,bf16,11008,8192,4096,4,64,1,32,null,1024,32000,5728,6.71205,346.5
8,exp20260303_134823,0,vendor-b,bf16,11008,8192,4096,4,64,1,32,null,1024,32000,5728,6.71203,346.501
8,exp20260303_134823,2,vendor-b,bf16,11008,8192,4096,4,64,1,32,null,1024,32000,5728,6.71202,346.501
8,exp20260303_134823,5,vendor-b,bf16,11008,8192,4096,4,64,1,32,null,1024,32000,5728,6.71199,346.503
8,exp20260303_134823,1,vendor-b,bf16,11008,8192,4096,4,64,1,32,null,1024,32000,5728,6.71197,346.504
8,exp20260303_134823,7,vendor-b,bf16,11008,8192,4096,4,64,1,32,null,1024,32000,5728,6.71172,346.517
8,exp20260303_084404,4,vendor-b,bf16,11008,8192,4096,4,128,1,32,null,2048,32000,5888,13.1217,346.628
8,exp20260303_084404,0,vendor-b,bf16,11008,8192,4096,4,128,1,32,null,2048,32000,5888,13.1198,346.679
8,exp20260303_084404,6,vendor-b,bf16,11008,8192,4096,4,128,1,32,null,2048,32000,5888,13.1197,346.682
8,exp20260303_084404,3,vendor-b,bf16,11008,8192,4096,4,128,1,32,null,2048,32000,5888,13.1196,346.685
8,exp20260303_084404,2,vendor-b,bf16,11008,8192,4096,4,128,1,32,null,2048,32000,5888,13.1196,346.686
8,exp20260303_084404,1,vendor-b,bf16,11008,8192,4096,4,128,1,32,null,2048,32000,5888,13.1195,346.689
8,exp20260303_084404,5,vendor-b,bf16,11008,8192,4096,4,128,1,32,null,2048,32000,5888,13.1195,346.689
8,exp20260303_084404,7,vendor-b,bf16,11008,8192,4096,4,128,1,32,null,2048,32000,5888,13.1194,346.691
8,exp20260303_180007,1,vendor-b,bf16,11008,8192,4096,2,64,1,32,null,2048,32000,5760,6.85684,346.7
8,exp20260303_180007,2,vendor-b,bf16,11008,8192,4096,2,64,1,32,null,2048,32000,5760,6.85679,346.702
8,exp20260303_180007,4,vendor-b,bf16,11008,8192,4096,2,64,1,32,null,2048,32000,5760,6.85678,346.703
8,exp20260303_180007,0,vendor-b,bf16,11008,8192,4096,2,64,1,32,null,2048,32000,5760,6.85668,346.708
